epoch	loss	acc	val_loss	val_acc
0	1.348065	0.281250	1.215537	0.347826
1	1.225763	0.406250	1.198152	0.347826
2	1.141206	0.375000	1.181127	0.391304
3	1.431345	0.312500	1.168576	0.391304
4	1.232011	0.451613	1.158769	0.347826
5	1.047376	0.500000	1.149556	0.347826
6	1.302894	0.375000	1.146561	0.304348
7	1.305098	0.312500	1.150453	0.260870
8	1.039120	0.437500	1.145933	0.304348
9	1.359958	0.290323	1.142237	0.304348
10	1.327495	0.500000	1.133825	0.304348
11	0.980601	0.531250	1.121611	0.260870
12	1.309083	0.343750	1.112775	0.304348
13	1.046751	0.437500	1.106247	0.347826
14	1.230276	0.354839	1.098372	0.391304
15	1.128726	0.406250	1.093274	0.347826
16	1.030535	0.406250	1.086887	0.391304
17	1.094939	0.500000	1.083504	0.478261
18	1.068316	0.531250	1.084724	0.478261
19	1.084275	0.451613	1.083760	0.478261
20	1.067045	0.500000	1.081520	0.478261
21	0.996834	0.375000	1.075824	0.478261
22	0.914150	0.500000	1.067853	0.478261
23	1.199224	0.437500	1.062949	0.521739
24	1.123408	0.548387	1.057503	0.478261
25	0.899126	0.531250	1.051345	0.565217
26	1.035302	0.468750	1.041990	0.565217
27	1.051843	0.437500	1.037505	0.521739
28	0.928798	0.562500	1.038383	0.478261
29	0.823879	0.677419	1.035798	0.434783
30	0.961885	0.437500	1.033164	0.434783
31	0.960391	0.531250	1.036482	0.391304
32	0.766292	0.656250	1.036315	0.391304
33	0.995472	0.468750	1.030437	0.391304
34	0.937379	0.451613	1.024593	0.391304
35	0.886114	0.750000	1.015721	0.391304
36	0.869976	0.562500	1.010849	0.391304
37	0.901381	0.562500	1.005030	0.391304
38	0.850955	0.625000	0.995397	0.434783
39	0.880975	0.645161	0.988519	0.478261
40	0.838479	0.750000	0.977987	0.565217
41	1.024099	0.500000	0.974295	0.565217
42	0.861734	0.656250	0.973064	0.565217
43	0.919753	0.593750	0.974638	0.565217
44	0.744732	0.645161	0.976501	0.565217
45	1.043011	0.593750	0.981735	0.565217
46	0.694954	0.718750	0.986955	0.521739
47	0.604970	0.812500	0.995264	0.521739
48	0.881889	0.593750	0.996426	0.521739
49	0.903449	0.483871	0.994262	0.521739
50	0.670188	0.750000	0.993460	0.521739
51	0.762743	0.687500	0.993456	0.478261
52	0.817694	0.656250	0.994494	0.478261
53	0.853163	0.562500	0.987744	0.434783
54	0.760028	0.677419	0.980857	0.434783
55	0.788384	0.687500	0.976041	0.434783
56	0.944986	0.562500	0.968533	0.391304
57	0.534290	0.843750	0.960863	0.434783
58	0.849740	0.562500	0.964269	0.434783
59	0.846436	0.677419	0.963935	0.434783
60	0.661642	0.781250	0.963356	0.434783
61	0.746673	0.656250	0.963809	0.434783
62	0.791052	0.531250	0.957092	0.434783
63	0.520883	0.812500	0.953014	0.434783
64	1.044687	0.483871	0.951954	0.434783
65	0.755016	0.687500	0.958238	0.391304
66	0.697993	0.656250	0.956577	0.434783
67	0.708768	0.750000	0.954795	0.434783
68	0.605537	0.843750	0.953245	0.434783
69	0.837857	0.580645	0.954388	0.434783
70	0.700359	0.656250	0.958945	0.434783
71	0.849498	0.625000	0.961573	0.434783
72	0.646317	0.781250	0.964973	0.434783
73	0.794429	0.625000	0.970708	0.434783
74	0.628331	0.806452	0.976949	0.434783
75	0.697533	0.687500	0.983223	0.434783
76	0.632110	0.750000	0.983246	0.391304
77	0.696292	0.718750	0.983734	0.434783
78	0.703058	0.750000	0.977633	0.478261
79	0.669563	0.677419	0.967056	0.478261
80	0.700417	0.750000	0.953323	0.478261
81	0.544978	0.718750	0.939144	0.478261
82	0.651404	0.781250	0.931329	0.478261
83	0.587200	0.812500	0.923431	0.434783
84	0.586476	0.806452	0.920984	0.434783
85	0.625898	0.718750	0.921166	0.434783
86	0.623826	0.750000	0.919193	0.478261
87	0.591895	0.843750	0.918704	0.478261
88	0.810857	0.625000	0.924095	0.521739
89	0.557105	0.806452	0.929331	0.521739
90	0.654881	0.750000	0.933486	0.521739
91	0.535121	0.718750	0.935554	0.521739
92	0.486252	0.875000	0.934952	0.478261
93	0.601999	0.781250	0.930487	0.521739
94	0.738712	0.709677	0.935714	0.521739
95	0.685791	0.750000	0.939334	0.521739
96	0.715797	0.687500	0.940656	0.521739
97	0.658238	0.718750	0.945810	0.521739
98	0.620193	0.781250	0.951643	0.521739
99	0.794227	0.645161	0.952113	0.521739
100	0.413184	0.937500	0.951176	0.521739
101	0.611094	0.750000	0.947575	0.521739
102	0.715751	0.718750	0.941119	0.521739
103	0.710332	0.781250	0.942419	0.521739
104	0.753187	0.677419	0.942565	0.521739
105	0.635606	0.750000	0.944734	0.565217
106	0.615893	0.781250	0.944384	0.608696
107	0.644186	0.687500	0.936554	0.608696
108	0.597961	0.812500	0.929661	0.608696
109	0.646724	0.806452	0.923912	0.521739
110	0.684529	0.718750	0.917931	0.521739
111	0.773678	0.593750	0.904685	0.478261
112	0.683157	0.718750	0.898222	0.478261
113	0.484715	0.906250	0.895019	0.478261
114	0.594952	0.741935	0.897604	0.478261
115	0.682962	0.687500	0.892813	0.565217
116	0.521965	0.687500	0.894065	0.565217
117	0.527265	0.812500	0.893595	0.565217
118	0.514026	0.843750	0.897668	0.521739
119	0.496194	0.838710	0.904807	0.521739
120	0.624321	0.687500	0.921710	0.521739
121	0.636374	0.687500	0.926696	0.521739
122	0.531292	0.781250	0.924814	0.521739
123	0.429821	0.781250	0.921121	0.521739
124	0.541877	0.838710	0.919937	0.521739
125	0.542666	0.843750	0.918712	0.565217
126	0.522453	0.906250	0.913379	0.565217
127	0.621076	0.687500	0.911476	0.565217
128	0.684915	0.625000	0.911075	0.565217
129	0.607984	0.741935	0.902566	0.521739
130	0.475248	0.812500	0.899462	0.521739
131	0.514078	0.843750	0.897023	0.521739
132	0.533323	0.781250	0.895482	0.521739
133	0.468641	0.875000	0.896672	0.565217
134	0.678625	0.709677	0.893778	0.521739
135	0.587190	0.687500	0.889050	0.565217
136	0.516429	0.812500	0.883783	0.565217
137	0.435640	0.875000	0.881016	0.565217
138	0.687034	0.750000	0.885826	0.521739
139	0.603569	0.806452	0.896915	0.565217
140	0.486953	0.781250	0.906777	0.608696
141	0.477080	0.781250	0.910351	0.608696
142	0.600453	0.687500	0.916306	0.521739
143	0.506837	0.718750	0.918441	0.521739
144	0.562402	0.741935	0.922624	0.521739
145	0.413137	0.875000	0.929227	0.521739
146	0.523290	0.781250	0.935621	0.521739
147	0.573786	0.843750	0.935948	0.521739
148	0.606378	0.781250	0.939362	0.521739
149	0.484908	0.838710	0.937350	0.565217
150	0.516092	0.781250	0.931419	0.565217
151	0.356362	0.937500	0.923736	0.521739
152	0.509593	0.875000	0.917350	0.521739
153	0.503175	0.812500	0.912828	0.565217
154	0.430488	0.903226	0.907714	0.565217
155	0.384628	0.906250	0.902978	0.608696
156	0.432091	0.875000	0.896938	0.608696
157	0.632217	0.718750	0.890182	0.652174
158	0.379081	0.906250	0.891892	0.652174
159	0.658821	0.741935	0.884283	0.608696
160	0.341311	0.937500	0.878900	0.608696
161	0.463469	0.781250	0.870023	0.608696
162	0.577320	0.750000	0.864713	0.608696
163	0.485464	0.843750	0.862113	0.608696
164	0.489581	0.774194	0.858825	0.608696
165	0.532799	0.750000	0.852463	0.608696
166	0.550441	0.718750	0.847591	0.608696
167	0.497832	0.781250	0.843612	0.608696
168	0.520073	0.812500	0.843578	0.565217
169	0.507851	0.774194	0.844701	0.565217
170	0.369483	0.875000	0.852299	0.608696
171	0.401408	0.812500	0.868576	0.608696
172	0.446690	0.781250	0.882935	0.652174
173	0.465929	0.843750	0.896338	0.652174
174	0.663592	0.741935	0.906578	0.608696
175	0.451986	0.875000	0.920971	0.608696
176	0.336417	0.937500	0.927809	0.608696
177	0.410587	0.843750	0.935706	0.565217
178	0.390762	0.875000	0.941739	0.608696
179	0.495761	0.774194	0.931393	0.608696
180	0.379504	0.875000	0.920084	0.652174
181	0.655310	0.718750	0.907561	0.695652
182	0.282689	0.937500	0.896361	0.695652
183	0.251548	0.937500	0.884046	0.695652
184	0.393031	0.935484	0.875499	0.652174
185	0.400789	0.875000	0.867280	0.608696
186	0.428383	0.843750	0.868832	0.608696
187	0.490369	0.843750	0.874054	0.652174
188	0.396995	0.906250	0.878498	0.652174
189	0.374227	0.903226	0.882694	0.652174
190	0.351997	0.906250	0.890633	0.608696
191	0.399846	0.875000	0.902160	0.608696
192	0.417264	0.875000	0.907886	0.608696
193	0.463617	0.843750	0.912009	0.608696
194	0.514480	0.774194	0.912466	0.608696
195	0.451095	0.812500	0.914161	0.608696
196	0.252245	1.000000	0.915193	0.608696
197	0.366808	0.937500	0.915156	0.608696
198	0.356253	0.906250	0.910863	0.652174
199	0.320322	0.935484	0.902128	0.695652
200	0.284587	0.937500	0.901190	0.695652
201	0.347296	0.843750	0.898014	0.652174
202	0.426438	0.875000	0.888985	0.652174
203	0.481494	0.812500	0.882364	0.652174
204	0.372026	0.838710	0.879725	0.652174
205	0.408199	0.875000	0.881507	0.652174
206	0.306976	0.937500	0.884188	0.652174
207	0.409542	0.750000	0.889421	0.652174
208	0.289384	0.906250	0.895651	0.652174
209	0.311983	0.903226	0.899473	0.652174
210	0.237630	0.968750	0.899694	0.652174
211	0.350227	0.875000	0.902073	0.608696
212	0.351686	0.906250	0.905313	0.608696
213	0.442854	0.843750	0.903946	0.608696
214	0.404229	0.870968	0.902728	0.608696
215	0.386956	0.906250	0.904867	0.608696
216	0.268359	0.968750	0.904338	0.608696
217	0.308248	0.875000	0.904613	0.608696
218	0.418271	0.843750	0.900612	0.565217
219	0.399313	0.838710	0.907163	0.608696
220	0.298246	0.875000	0.907387	0.608696
221	0.287253	0.906250	0.908442	0.608696
222	0.266623	0.937500	0.912116	0.608696
223	0.333462	0.843750	0.915523	0.608696
224	0.366972	0.838710	0.919380	0.608696
225	0.245360	0.968750	0.914546	0.608696
226	0.241752	0.906250	0.909877	0.608696
227	0.436127	0.843750	0.893543	0.565217
228	0.458712	0.843750	0.876901	0.608696
229	0.383543	0.838710	0.873001	0.608696
230	0.382515	0.906250	0.872569	0.652174
231	0.346232	0.875000	0.869326	0.652174
232	0.228256	0.968750	0.869720	0.652174
233	0.376287	0.843750	0.875388	0.652174
234	0.365678	0.806452	0.885096	0.652174
235	0.362823	0.906250	0.892728	0.652174
236	0.279281	0.937500	0.902321	0.652174
237	0.352773	0.812500	0.903993	0.652174
238	0.296266	0.875000	0.899771	0.652174
239	0.339129	0.870968	0.902575	0.652174
240	0.317147	0.906250	0.907044	0.608696
241	0.467087	0.812500	0.914207	0.565217
242	0.357848	0.906250	0.926027	0.565217
243	0.464964	0.875000	0.920307	0.565217
244	0.223109	0.870968	0.915243	0.608696
245	0.440706	0.875000	0.925648	0.608696
246	0.341098	0.843750	0.925457	0.608696
247	0.381488	0.875000	0.925615	0.608696
248	0.341108	0.875000	0.916433	0.608696
